level,thinking,accuracy,std,n,extraction_failure
0,False,0.7575757575757576,0.4293,297,0.0
0,True,0.8316498316498316,0.3748,297,0.0
1,False,0.7157534246575342,0.4518,292,0.0168
1,True,0.8184931506849316,0.3861,292,0.0168
2,False,0.8148148148148148,0.3891,297,0.0
2,True,0.8585858585858586,0.349,297,0.0
3,False,0.7003367003367004,0.4589,297,0.0
3,True,0.7003367003367004,0.4589,297,0.0
4,False,0.6801346801346801,0.4672,297,0.0
4,True,0.734006734006734,0.4426,297,0.0
5,False,0.3434343434343434,0.4757,297,0.0
5,True,0.30067567567567566,0.4593,296,0.0034
