ambiguity,level,thinking,consistency,std
high,0,False,1.0,0.0
high,0,True,0.97,0.1048
high,1,False,0.9667,0.1054
high,1,True,0.7778,0.2493
high,2,False,0.9867,0.066
high,2,True,0.9533,0.1168
high,3,False,0.9444,0.1528
high,3,True,0.9519,0.1262
high,4,False,0.96,0.1094
high,4,True,0.94,0.1294
high,5,False,0.8542,0.1774
high,5,True,0.8776,0.1727
low,0,False,1.0,0.0
low,0,True,1.0,0.0
low,1,False,1.0,0.0
low,1,True,1.0,0.0
low,2,False,1.0,0.0
low,2,True,1.0,0.0
low,3,False,0.9932,0.0476
low,3,True,0.9864,0.0666
low,4,False,1.0,0.0
low,4,True,1.0,0.0
low,5,False,0.9767,0.0953
low,5,True,0.9932,0.0476
